term	gene
GO:0008253	70881
GO:0000255	70881
GO:0046055	76952
GO:0005829	76952
GO:0046038	76952
GO:0006202	76952
GO:0000255	76952
GO:0050484	76952
GO:0001520	11636
GO:0036126	11636
GO:0004017	11636
GO:0097226	11637
GO:0005743	11637
GO:0005739	11637
GO:0036126	11637
GO:0005930	68870
GO:0021591	68870
GO:0036126	68870
GO:0004748	20133
GO:0070318	20133
GO:0051290	20133
GO:0097718	20133
GO:0009185	20133
GO:0009265	20133
GO:0017076	20133
GO:0006264	20133
GO:0005515	20133
GO:0005971	20133
GO:0009263	20133
GO:0004748	20135
GO:0051290	20135
GO:0009265	20135
GO:0009185	20135
GO:0008199	20135
GO:0005515	20135
GO:0009262	20135
GO:0001824	20135
GO:0042803	20135
GO:0042802	20135
GO:0005971	20135
GO:0009263	20135
GO:0006979	382985
GO:0009200	382985
GO:0004748	382985
GO:0070318	382985
GO:0006281	382985
GO:0001822	382985
GO:0006264	382985
GO:0003014	382985
GO:1902254	382985
GO:0009263	382985
GO:0005739	54369
GO:0005739	56520
GO:0005739	79059
GO:0048101	18573
GO:0047555	18573
GO:0004115	18573
GO:0005929	18575
GO:0007608	18575
GO:0003170	207728
GO:0010749	207728
GO:0043951	207728
GO:0010628	207728
GO:0030553	207728
GO:0042803	207728
GO:0030552	207728
GO:0003281	207728
GO:0035904	207728
GO:0010821	207728
GO:0005794	207728
GO:0030424	207728
GO:0060548	207728
GO:0005741	207728
GO:0005739	207728
GO:0050729	207728
GO:0004118	207728
GO:0060976	207728
GO:0007507	207728
GO:0003279	207728
GO:0005743	207728
GO:0036004	207728
GO:0071260	207728
GO:0005737	207728
GO:0005829	207728
GO:0019933	207728
GO:0030425	207728
GO:0019934	207728
GO:0071222	207728
GO:0005783	207728
GO:0004114	23984
GO:0106070	23984
GO:0010738	23984
GO:0050953	110855
GO:0046549	110855
GO:0007603	110855
GO:0007601	110855
GO:0043153	18587
GO:0060041	18587
GO:0009583	18587
GO:0001750	18587
GO:0004114	242202
GO:0046069	242202
GO:0046068	242202
GO:0055118	242202
GO:0010613	242202
GO:0010749	242202
GO:0043406	242202
GO:0060282	242202
GO:0030553	242202
GO:0055119	242202
GO:0004112	242202
GO:0042130	242202
GO:0045742	78600
GO:0043410	78600
GO:0045745	78600
GO:0005829	27369
GO:0019136	27369
GO:0046070	27369
GO:0005739	27369
GO:0006468	27369
GO:0004138	27369
GO:0005737	27369
GO:0030425	104110
GO:0007188	104110
GO:0001701	11515
GO:0006171	11515
GO:0004016	11515
GO:0016020	11515
GO:0007189	11515
GO:0008179	224129
GO:0097110	224129
GO:0005886	224129
GO:0007626	224129
GO:0005929	224129
GO:0007195	224129
GO:0004016	224129
GO:0007191	224129
GO:0016020	224129
GO:0005515	224129
GO:0001973	224129
GO:0050885	224129
GO:0007189	224129
GO:0016324	271639
GO:0016020	271639
GO:0005515	271639
GO:0150076	432530
GO:0004016	432530
GO:1900273	432530
GO:0042752	432530
GO:0007409	432530
GO:0050804	432530
GO:0098685	432530
GO:0098686	432530
GO:2000300	432530
GO:0007616	432530
GO:0014069	432530
GO:0098978	432530
GO:0032793	432530
GO:0099061	432530
GO:0005737	432530
GO:0009636	14917
GO:0004383	14917
GO:0042127	14917
GO:0042048	14918
GO:0007608	14918
GO:0008355	14918
GO:0050911	14918
GO:0010753	14918
GO:0004984	14918
GO:0005549	14918
GO:0003031	14918
GO:0004383	14919
GO:0006182	14919
GO:0042622	14919
GO:0022414	230103
GO:0051447	230103
GO:0004383	230103
GO:0060348	230103
GO:1900194	230103
GO:0016941	230103
GO:0042802	230103
GO:0010750	234889
GO:0120200	245650
GO:0050908	245650
GO:0005515	245650
GO:0010750	60596
GO:0006182	60596
GO:0008217	60596
GO:0098982	60596
GO:0098978	60596
GO:0098925	60596
GO:0060087	60596
GO:0016020	73707
GO:0004383	73707
GO:0009897	73707
GO:0006148	76974
GO:0046055	76974
GO:0006147	76974
GO:0005777	76974
GO:0009114	76974
GO:0000255	76974
GO:0006154	76974
GO:0046059	76974
GO:0006196	76974
GO:0046038	76974
GO:0016787	76974
GO:0005739	76974
GO:0006149	76974
GO:0006204	76974
GO:0006157	76974
GO:0033971	76974
GO:0009115	76974
GO:0019628	76974
GO:0006161	76974
GO:0005929	110385
GO:0008021	18578
GO:0071944	18578
GO:0071466	18578
GO:0005829	18578
GO:0000930	18578
GO:0043197	18578
GO:0005813	18578
GO:0016020	18578
GO:0030593	18578
GO:0043015	18578
GO:0005515	18578
GO:0001780	18578
GO:0014069	18578
GO:0050900	18578
GO:0071222	18578
GO:0060076	18578
GO:0006939	18578
GO:0004115	18583
GO:0019933	18583
GO:0070374	18584
GO:0071364	18584
GO:0004115	18584
GO:0006402	75686
GO:0098519	75686
GO:0051276	75686
GO:0035863	75686
GO:0035870	75686
GO:0005759	56248
GO:0005739	56248
GO:0047429	209558
GO:0009897	209558
GO:0046034	209558
GO:0055062	209558
GO:0050728	209558
GO:0070667	209558
GO:0002276	209558
GO:0033007	209558
GO:0044205	69719
GO:0004070	69719
GO:0004088	69719
GO:0004151	69719
GO:0071222	22169
GO:0005739	55936
GO:0005829	99586
GO:0006208	99586
GO:0017113	99586
GO:0006248	99586
GO:0006249	99586
GO:0046079	99586
GO:0046050	99586
GO:0005829	64705
GO:0046050	64705
GO:0006248	64705
GO:0006249	64705
GO:0046079	64705
GO:0051219	64705
GO:0004157	64705
GO:0005829	66422
GO:0047429	66422
GO:0009143	66422
GO:0016462	66422
GO:0032556	66422
GO:0005634	66422
GO:0000287	66422
GO:0005739	66422
GO:0042802	66422
GO:0004797	21877
GO:0044206	72269
GO:0042802	72269
GO:0005829	72269
GO:0004126	72269
GO:0071363	21915
GO:0009165	21915
GO:0004798	21915
GO:0006233	21915
GO:0046074	72962
GO:0009032	72962
GO:0005739	107569
GO:0008253	107569
GO:0006248	107569
GO:0032922	14583
GO:0005739	212647
GO:0003842	212647
GO:0048148	268860
GO:0005739	268860
GO:0005739	52633
GO:0007320	70503
GO:0006531	70503
GO:0007625	70503
GO:0071949	70503
GO:0008445	70503
GO:0019478	70503
GO:0042445	70503
GO:0001917	66514
GO:0005829	11484
GO:0005515	11484
GO:0072590	108653
GO:0072591	108653
GO:0005737	108653
GO:0072590	194237
GO:0005737	194237
GO:0004180	53320
GO:0006760	53320
GO:0016805	53320
GO:0005887	53320
GO:0016021	53320
GO:0006508	53320
GO:0008233	53320
GO:0006563	236539
GO:0043209	236539
GO:0006544	236539
GO:0022008	236539
GO:0006541	236539
GO:0021915	236539
