ENTREZ_GENE_A	ENTREZ_GENE_B
116722	24708
500666	64462
308212	64462
499088	64462
500666	43673
308212	43673
499088	43673
500666	25636
308212	25636
499088	25636
500666	24680
308212	24680
499088	24680
500666	24245
308212	24245
500666	2931
500666	83721
308212	83721
499088	83721
500666	303251
308212	303251
499088	303251
500666	303811
308212	303811
499088	303811
500666	32078
308212	32078
499088	32078
500666	690366
308212	690366
499088	690366
500666	289229
308212	289229
499088	289229
500666	35922
308212	35922
499088	35922
308212	59086
308212	84353
499088	84353
308212	311163
500666	311163
308212	3355143
500666	3355143
499088	3355143
308212	161452
308212	24817
308212	171046
308212	297893
500666	297893
308212	3065
500666	3065
500666	51339
499088	51339
500666	168002
308212	168002
500666	147906
308212	147906
499088	147906
25414	25150
24716	316258
316258	24716
161475	170915
500985	81515
500985	25513
25513	500985
500985	24329
64630	56084
25012	56084
171086	56084
56084	171086
25155	867
310461	363287
303882	64465
83709	362738
83709	314764
311245	84351
311245	24681
311245	117268
360514	25596
360514	25596
360514	64701
360514	287670
360514	287772
360514	303353
360514	311078
303604	56011
303604	29753
303604	56010
303604	25577
303604	25576
303604	25578
303604	287716
287716	114486
287716	303604
303604	287716
303604	287716
81515	81515
81515	2023
84477	192255
57509	116689
116689	17196
81516	303614
81516	29591
81516	300813
29591	303614
29591	81516
50592	50522
24408	50522
171415	361321
25353	25152
25353	29456
25152	25353
29456	25353
7329	140694
7341	140694
8554	140694
29274	7321
29274	7316
29274	29274
29274	7321
12234	63840
103583	63840
63840	12234
63840	103583
84607	252971
84607	84607
84607	89829
84607	83681
23640	24468
24392	25489
24392	292994
24392	115769
24392	25489
140657	83810
140657	83810
83810	140657
362339	50522
362165	50522
361712	362339
362165	361712
361712	362165
362339	361712
361712	362165
303554	84015
303554	140939
303554	365751
303554	113894
7428	64525
7428	64525
7428	81807
24654	64515
24654	64515
64515	24654
24654	50522
84019	54226
58845	5515
58845	5531
58845	51366
24391	24825
56084	25054
60331	64158
64158	60331
116590	24767
116590	24768
25489	24768
81807	64525
81807	25562
24842	50522
24842	314856
363445	312703
312703	363445
24767	25489
25122	25489
24768	25489
24767	25489
24768	25489
25122	25489
25489	25122
4287	291081
4287	64158
4287	296554
4287	313173
110616	291081
110616	64158
110616	25595
110616	296554
110616	24974
110616	313173
110616	116643
110616	29275
110616	305940
301555	246757
362356	246757
54257	246757
29559	246757
246757	50522
54257	50522
83571	289508
24383	140941
140941	24383
140941	24383
25508	7316
4734	24768
23327	24768
24418	140941
24414	140941
78975	23327
78975	1080
117277	50522
81022	690244
81022	499417
29562	63879
78948	117265
297570	500006
297570	117265
78948	50522
50522	78948
78948	312703
50522	312703
29495	23024
81516	300813
81516	303614
114208	300813
114208	303614
313757	300813
313757	303614
29591	303614
3320	25747
23327	24768
24842	301442
7189	25387
7189	25388
25248	301442
362849	60562
60562	362849
60562	362849
85327	362849
85421	181030
24680	291145
25023	291145
170538	291145
29340	291145
25149	84350
25149	25737
84350	25149
25737	25149
25737	84350
84350	25737
114559	5062
114559	5062
25622	24954
24954	25622
25622	25414
950	171494
60383	315713
60383	54244
116590	24547
85385	81504
85385	24329
361677	25573
361677	140926
361677	361370
361677	83422
361677	301442
361677	361677
361677	501625
361677	83427
361677	50522
361677	306626
361677	691974
361677	94266
361677	25573
361677	140926
361677	301442
361677	361677
361677	83422
361677	25466
361677	25663
361677	25573
361677	83422
361677	301442
293705	29139
29139	293705
29139	50522
64100	25585
64100	25261
64100	25573
6929	25573
64100	25585
64100	25573
83571	24855
116643	116643
116643	116643
116643	116643
24890	81827
24890	84584
24890	117553
117553	24890
54245	25414
116643	84478
116643	83809
116643	29144
116643	24223
116643	50522
24223	50522
24874	6923
24874	6921
29161	117018
74132	65172
24874	1029
24874	11340
65098	29355
29355	65098
5174	246757
5174	192117
5174	29495
24409	29495
24410	29495
24409	25252
24410	25252
64845	25456
25456	64845
64845	25456
64845	25456
25456	29564
64845	29564
25456	29489
64845	29489
64356	687506
64356	24242
24400	25398
24400	25398
5191	308718
64354	312916
312916	64354
3752	65023
3752	56817
3752	362799
3752	59326
3752	252857
684755	64528
684755	64528
64528	684755
684755	64528
64528	684755
684755	64528
25327	25252
317371	81824
317371	64632
317371	116654
317371	360854
64632	81824
29365	81651
81651	29365
81651	29365
24811	3105
24812	3105
24811	3106
24812	3106
24811	3106
24811	811
24811	2923
24811	24812
24812	24812
24598	51070
51070	24598
3741	81830
4831	24400
4831	24400
114711	7704
114711	1400
114711	57670
114711	7704
114711	25415
24842	25405
24842	314856
314856	25405
314856	24842
287942	360820
116554	287942
116554	24516
297176	8379
297176	9587
297176	991
297176	4085
297176	9184
50664	7704
50664	7704
50664	7704
50664	353227
353227	50664
7704	50664
7704	50664
3643	252971
3643	307200
3643	25467
117273	22129
22129	83620
24520	24520
24520	24520
25297	5080
25297	5080
25727	362891
25727	362891
25727	216440
25727	216440
216440	25727
25467	83946
83946	25467
362161	55584
362161	55584
55584	362161
4139	25595
25470	299850
25470	29564
160	117277
394300	140694
394300	85238
308578	65178
308578	312694
308578	60668
308578	117277
308578	313474
140670	65178
140670	25388
140670	60668
140670	117277
140670	313474
140670	65178
140670	29491
140670	313934
140670	362965
140670	84479
140670	293684
140670	60668
140670	24468
140670	117277
140670	300250
140670	313474
140670	296344
140670	60443
140670	361677
140670	246310
140670	361370
140670	54241
140670	140694
308578	65178
308578	29491
308578	293684
308578	60668
308578	24468
308578	117277
308578	313474
308578	140694
308578	25751
308578	171574
308578	312694
308578	309010
192152	84685
192152	84685
84685	192152
192152	84685
266606	364823
116681	25152
64145	64516
64145	64516
297994	24468
297994	24703
83800	116643
24592	116643
116643	24592
1410	50522
9531	25420
9531	24468
58974	54241
58974	54241
192245	192245
291981	5901
3320	81810
7048	299331
7048	50522
363083	287280
363083	291245
24786	25506
25506	24786
58974	64202
64202	58974
24471	24471
24471	25420
24471	50522
24471	171460
24471	171460
171460	24471
171460	24471
308690	309126
54245	25414
