geneset	term
GS75751	D057229
GS75751	D015536
GS75751	MA:0000905
GS75751	MA:0000905
GS75751	D004268
GS75751	D012313
GS75751	D014157
GS75751	D017397
GS75751	D010336
GS75751	D017209
GS75751	D009435
GS75751	D002477
GS75751	D020411
GS75751	D011506
GS75751	D006801
GS75751	D001921
GS75751	D012926
GS75751	D046228
GS75751	D006801
GS75751	GO:0043526
GS75751	GO:0005623
GS75751	D018076
GS75754	D000369
GS75754	D002492
GS75754	D057229
GS75754	D019370
GS75754	D000437
GS75754	D012333
GS75754	MP:0002555
GS75754	GO:0023052
GS75754	D010361
GS75754	D012737
GS75754	D020133
GS75754	D008875
GS75754	D018832
GS75754	D017397
GS75754	D000328
GS75754	D000367
GS75754	D017397
GS75754	D057229
GS75754	GO:0019722
GS75754	D006801
GS75754	D046228
GS75754	D000431
GS75754	D020411
GS75754	D020411
GS75754	GO:0010467
GS75754	D001921
GS75754	D046228
GS75754	D009474
GS75754	D000368
GS75754	D012718
GS75754	D020411
GS75754	GO:0005883
GS75754	D020013
GS75754	D000431
GS75754	D017209
GS75754	D000437
GS75754	D009419
GS75754	D032882
GS75754	D006801
GS75754	D016900
GS75754	D002118
GS75754	D015854
GS75754	D017397
GS121068	D014029
GS121068	D009316
GS121068	D001076
GS121068	D014029
GS121068	D004247
GS121068	D055106
GS121068	D012907
GS121068	D009538
GS121068	D016430
GS121068	D012907
GS121068	D009538
GS121068	D014427
GS121068	D006664
GS121068	D016540
GS121068	D058028
GS121068	D058028
GS121068	D001244
GS121068	D001244
GS121068	D055106
GS121068	D012106
GS121068	D008967
GS121068	D006801
GS121068	D000047
GS121068	D006239
GS121068	D006262
GS121068	D018486
GS121068	D009316
GS121068	D001076
GS121068	D020641
GS127590	D009000
GS127590	GO:0023052
GS127590	D000437
GS127590	GO:0008152
GS127590	D004299
GS127590	GO:0006749
GS127590	GO:0010467
GS127590	D002477
GS127590	D018932
GS127590	D014652
GS127590	D009638
GS127590	D051379
GS127590	D000431
GS127590	D006801
GS127590	D005978
GS127590	D004298
GS127590	D012926
GS127590	D013812
GS127590	D012333
GS127590	D012333
GS127590	D013812
GS127590	D012380
GS127590	GO:0006584
GS127590	D012718
GS127590	MP:0002555
GS127590	D020411
GS127590	GO:0019933
GS127590	D004247
GS127590	D008660
