geneset	term
GS75647	D000704
GS75647	D009538
GS75647	D004210
GS75647	D010988
GS75647	D004364
GS75647	D016000
GS75647	D001921
GS75647	D019966
GS75647	D020411
GS75647	D017403
GS75647	D000697
GS75647	D003042
GS75647	D055785
GS75647	MA:0000891
GS75647	D009934
GS75647	D009020
GS75647	D000431
GS75647	D000701
GS75647	D051379
GS75647	D009020
GS75647	MA:0000891
GS75647	MA:0000168
GS75647	D013287
GS75647	D020869
GS75647	D051379
GS75647	MP:0002555
GS75647	GO:0005622
GS75647	D008694
GS75647	GO:0010467
GS75647	D051379
GS75647	D014158
GS75647	D008810
GS75647	D053263
GS75647	D001665
