geneset	term
GS37170	D000818
GS37170	D022781
GS37170	D004195
GS37170	D020411
GS37170	D004326
GS37170	MA:0000358
GS37170	D036341
GS37170	MA:0000059
GS37170	GO:0040007
GS37170	D017208
GS37170	D005786
GS37170	GO:0007613
GS37170	D012718
GS37170	D057890
GS37170	D036341
GS37170	D008745
GS37170	D004798
GS37170	D002908
GS37170	D008099
GS37170	D008745
GS37170	D006657
GS37170	D006657
GS37170	D004305
GS37170	D008099
GS37170	D051381
GS37170	GO:0010467
GS74003	GO:0010467
GS74003	MA:0000168
GS74003	D000431
GS74003	D009934
GS74003	D051381
GS74003	D012380
GS74003	D013812
GS74003	D000431
GS74003	D000284
GS74003	D006225
GS74003	D002492
GS74003	D000831
GS74003	D010880
GS74016	D051381
GS74016	D000431
GS74016	D020869
GS74016	D046228
GS74016	D001921
GS74016	D000428
GS74016	D051381
GS74016	D001921
GS74016	D000818
GS74016	D006801
GS74016	D001519
GS74016	D040641
GS74016	D000428
GS74016	D004298
GS74016	D009474
GS74016	D051381
GS74016	D048088
GS74016	D018079
GS74016	D008660
GS74016	MA:0000168
GS74016	GO:0010467
GS74016	GO:0007610
GS74016	D000428
GS74016	D010641
GS74016	D006801
GS74016	D000818
GS74016	D040641
GS74016	D004326
GS74016	GO:0042756
GS74016	D019655
GS74016	D011919
GS74016	D011919
GS74016	GO:0008152
GS74016	D020022
GS74016	D006040
GS74016	D056726
GS74016	D004734
GS74016	MA:0000173
GS74016	D000679
GS74016	D001244
GS74016	GO:0023052
GS74016	D013045
GS74016	D023421
GS74016	D005518
GS74016	D007031
GS74016	D004195
GS74016	D023281
GS74016	D001923
GS74016	D005680
GS74016	D002149
GS74016	D011110
GS74016	GO:0009058
GS74016	D020641
GS74016	D004327
GS74016	D003469
GS74016	D020641
GS74016	MA:0000887
GS74017	D017208
GS74017	D000818
GS74017	D017208
GS74017	D006179
GS74017	D017208
GS74017	D015398
GS74017	D004195
GS74017	D051381
GS74017	MA:0000191
GS74017	D005786
GS74017	D000575
GS74017	D000575
GS74017	GO:0009293
GS74017	D006624
GS74017	MA:0000887
GS74017	D009478
GS74017	MA:0000904
GS74017	D000437
GS74017	D051381
GS74017	D008957
GS74017	D046228
GS74017	GO:0010467
GS74017	GO:0007165
GS74017	D016548
GS74017	D051381
GS74017	D009479
GS74017	D012984
GS74017	D015398
GS74017	D000437
GS74017	D020411
GS74017	D000679
GS74017	D016000
GS74017	GO:0010467
GS74018	D051381
GS74018	D020411
GS74018	MA:0000887
GS74018	D051381
GS74018	D009479
GS74018	D015398
GS74018	D012984
GS74018	D000437
GS74018	D016000
GS74018	D006179
GS74018	D000575
GS74018	D000575
GS74018	GO:0009293
GS74018	D017208
GS74018	D017208
GS74018	D008957
GS74018	D000437
GS74018	D000679
GS74018	D000679
GS74018	GO:0007165
GS74018	D017208
GS74018	D009478
GS74018	D005786
GS74018	D004195
GS74018	D016548
GS74018	MA:0000887
GS74018	MA:0000904
GS74018	D000818
GS74018	D015398
GS74018	GO:0010467
GS74018	MA:0000191
GS74018	D006624
GS74018	D051381
GS74018	D046228
GS74018	GO:0010467
GS74019	MA:0000191
GS74019	D009479
GS74019	D012984
GS74019	D016000
GS74019	D000437
GS74019	D000679
GS74019	MA:0000887
GS74019	D009478
GS74019	D005786
GS74019	MA:0000904
GS74019	MA:0000904
GS74019	D020411
GS74019	D051381
GS74019	D000437
GS74019	D015398
GS74019	D015398
GS74019	D051381
GS74019	GO:0010467
GS74019	D046228
GS74019	D051381
GS74019	D006624
GS74019	GO:0010467
GS74019	D017208
GS74019	D017208
GS74019	D017208
GS74019	D016548
GS74019	GO:0009293
GS74019	D000575
GS74019	D000575
GS74019	D006179
GS74019	D006179
GS74019	D000818
GS74019	D004195
