#rank	DIAMOnD_node	p_hyper
218	5322	6.306415279634824e-60
219	11145	1.1111193721931497e-61
220	8681	9.278890490653009e-63
221	50487	1.2794520196334952e-64
222	255189	1.1935862063460503e-65
223	100137049	9.336792651744757e-68
224	123745	1.0970948653354774e-69
225	283748	8.415815610970874e-72
226	8605	4.1040349688426466e-74
227	5321	7.850453357843466e-75
228	path:map07034	3.980494911375882e-63
229	9415	2.9098039195090646e-53
230	133121	1.2840703506730232e-52
231	79153	1.883946753895344e-54
232	255043	2.3665728371088892e-56
233	284161	2.541929405664439e-56
234	5168	1.9230142787421315e-56
235	254531	2.0481719064775947e-51
236	10434	2.5181148038645955e-53
237	23659	1.7862988940822606e-54
238	10908	2.582081333280993e-56
239	375775	1.4444918656099052e-58
240	54947	9.058698617351486e-57
241	79888	4.911511901499378e-57
242	5051	1.1705049566185577e-54
243	5049	1.825950931341874e-57
244	5050	1.9625781531410465e-57
245	5048	3.413045550535139e-59
246	7941	8.12305225192853e-61
247	56994	4.401522784838234e-61
248	10390	4.471683307553301e-59
249	10400	4.747358755439045e-58
250	9791	7.437027551661135e-60
